rank,handle,profile_url,followers,score_overall,score_mission_fit,score_authenticity,score_engagement,score_reach,recommended_lane,warm_lead,competitor_conquest,authenticity_band,why_fit
105,zoiebella,https://www.tiktok.com/@zoiebella,19000,6.0,7,7,7,4,family_amusement,False,False,authentic,A single Philadelphia mom of 3 who documents Royal Caribbean cruise vlogs and road-trip prep with toddlers — the exact family-travel scenario where a filtering straw earns its place in a carry-on.
106,vinceddo,https://www.tiktok.com/@vinceddo,398000,6.0,6,8,7,7,sustainable,False,False,authentic,"His ""what I pack in my everyday work bag"" #packwithme format is a natural, low-friction insertion point for the Sip as a smart daily-carry essential alongside his Sony and Apple gear."
107,asmr.restockin,https://www.tiktok.com/@asmr.restockin,120400,6.0,6,7,7,7,travel,False,False,authentic,"Their recurring ASMR travel-essentials ""pack with me"" videos are a natural, low-friction seeding vehicle for the Sip — but travel is a secondary theme alongside generic home restocks, and there's no warm LifeStraw or competitor signal."
108,theashleybell,https://www.tiktok.com/@theashleybell,247200,6.0,7,5,6,7,family_amusement,False,False,review,"A Disney-obsessed travel mom and fashion creator with a viral Europe carry-on packing video — the Sip slots naturally into her ""pack light, travel smart"" narrative at theme parks and abroad."
109,budgettravelmom,https://www.tiktok.com/@budgettravelmom,22200,6.0,7,5,6,5,family_amusement,False,False,review,"A Disney-focused family travel mom whose recurring ""park essentials"" packing content is a ready-made vehicle for the Sip, but her core identity is credit-card hacking, not gear/product reviews, and her audience engagement signals are under review."
110,raimeetravel,https://www.tiktok.com/@raimeetravel,372900,6.0,7,5,5,7,travel,False,False,review,"A 372K international travel-tips creator who already champions ""smarter travel"" gear and itineraries across 45+ countries — the Sip's refill-instead-of-buy-plastic hook fits naturally into her abroad safety-tips content."
111,essiepeasy,https://www.tiktok.com/@essiepeasy,105700,6.0,8,5,5,5,family_amusement,False,False,review,"A hyper-organized girl-mom-of-three whose #packwithme and family-travel content is a natural, zero-friction home for the Sip as a mom-approved hydration essential inside every trip bag."
112,melizzablack,https://www.tiktok.com/@melizzablack,203900,5.8,7,5,6,6,family_amusement,False,False,review,"A full-time Disney park superfan with 200K followers who constantly packs for theme park days — a natural hook for the Sip as an essential ""no single-use bottle"" park carry."
113,jhanneu,https://www.tiktok.com/@jhanneu,14300,5.5,5,7,7,3,sustainable,True,False,authentic,"NYC wellness/dating creator who organically name-dropped LifeStraw in a sustainability/microplastics video, but her feed is dominated by dating advice rather than travel or sustainable-living content the Sip is built for."
114,farhabae,https://www.tiktok.com/@farhabae,30800,5.5,6,8,8,6,travel,False,False,authentic,"Authentic NYC beauty/wellness creator with genuine international travel content (Seoul, Istanbul) makes her a plausible Sip travel-carry seed, but her primary identity is K-beauty skincare — not hydration, sustainability, or gear — so organic fit is moderate at best."
115,eco.amical,https://www.tiktok.com/@eco.amical,226300,5.5,6,8,8,7,sustainable,False,False,authentic,"Christine's 224K zero-waste / frugal-living audience is an authentic value-fit for LifeStraw's mission, but her content DNA (DIY cosmetics, food scraps, home hacks) has no travel, pack-with-me, or on-the-go hooks that make the Sip's core use-case land naturally."
116,seankellybrick,https://www.tiktok.com/@seankellybrick,277800,5.5,5,8,8,7,family_amusement,False,False,authentic,"A family-of-3 lifestyle creator with authentic engagement and clean brand history, but her core content is faith/relationship/mom-life — not travel, sustainability, or gear — making the Sip a contextual stretch rather than an obvious fit."
117,life.of.kleeb,https://www.tiktok.com/@life.of.kleeb,12800,5.5,6,8,8,3,travel,False,False,authentic,"Deadpan solo backpacker hitting Sahara iron ore trains and Himalayan yak fields — authentic extreme-travel storyteller whose water-scarce destinations make the Sip's filtering pitch viscerally real, but at 12.8K followers leans more Peak-line than Sip-lane."
118,sydintheparks,https://www.tiktok.com/@sydintheparks,11100,5.5,7,8,8,3,family_amusement,False,False,authentic,A WDW annual passholder whose entire identity is spending long days at Disney World — exactly the environment where a filtering sip straw pays for itself vs. $6 park water bottles.
119,yourpalkimmie,https://www.tiktok.com/@yourpalkimmie,20200,5.5,6,8,8,3,sustainable,False,False,authentic,"A genuine underconsumption mom-creator whose anti-single-use-plastic ethos aligns with the Sip's core sustainable swap angle, but her content is clothing/thrift-focused with no travel, gear-review, or on-the-go water use-case presence."
120,themindfulmac,https://www.tiktok.com/@themindfulmac,13500,5.5,6,8,8,4,sustainable,False,False,authentic,"A credentialed functional-wellness RN whose ""clean swaps / low-tox"" lens makes the Sip's microplastics-removal story a natural fit, but her 13.5K nano audience and home-focused content keep her below the seeding list threshold without a travel or pack-with-me hook."
121,mila.kyy,https://www.tiktok.com/@mila.kyy,114400,5.5,6,8,7,7,travel,False,False,authentic,"Authentic luxury-travel creator hitting Dubai, Monaco, Santorini, and London — genuine international itinerary content where the Sip's ""skip the bottled water abroad"" hook can land, but the heavy #richlife aesthetic makes the sustainability/refillable angle a stretch and there is no warm signal or competitor history."
122,hayleyjcl,https://www.tiktok.com/@hayleyjcl,33000,5.5,6,8,7,4,sustainable,False,False,authentic,A genuine low-tox SAHM of 4 who already promotes eco glass storage (PlanetBox) and family-active outings — the Sip slots naturally as her next sustainable everyday-carry swap for a family always on the go.
123,hannahashley.smith,https://www.tiktok.com/@hannahashley.smith,34500,5.5,6,7,7,5,family_amusement,False,False,authentic,"A genuine young mom-of-two with road-trip and family-outing content (including amusement parks) who sits cleanly in the Sip's family_amusement lane, but lacks any sustainability, gear-review, or water-safety signal and brings no warm lead or competitor conquest value."
124,magicalmolloys,https://www.tiktok.com/@magicalmolloys,31200,5.5,5,8,7,4,family_amusement,False,False,authentic,"A hyper-niche Disney fashion/merch creator with an authentic engaged audience, but zero sustainability or gear-review DNA makes the Sip pitch a forced stretch rather than a natural fit."
125,lindseynicole6783,https://www.tiktok.com/@lindseynicole6783,10200,5.5,6,8,7,3,family_amusement,False,False,authentic,"A genuine Disney World / DCP micro-creator whose theme-park lifestyle is a natural but narrow hook for the Sip's ""skip the $6 park water bottle"" angle — held back by sub-11K reach and zero sustainable-gear or travel-packing content."
126,theberrybestt,https://www.tiktok.com/@theberrybestt,57600,5.5,7,8,7,6,sustainable,False,False,authentic,"A credentialed environmental engineer whose sustainability-education audience is perfectly values-aligned with LifeStraw's B-Corp mission, but whose content skews policy/career rather than travel or plastic-bottle-swap use cases that drive Sip conversion."
127,chaoscol,https://www.tiktok.com/@chaoscol,34900,5.5,6,7,7,5,family_amusement,False,False,authentic,A Marriott-sponsored single-mom family travel creator who takes her kids to Colorado resorts and hot springs — exactly the road-trip-and-destination-water-drinking moment the Sip was built for.
128,spirithiker,https://www.tiktok.com/@spirithiker,92900,5.5,6,8,7,6,travel,False,False,authentic,"Tessa Rene's moody PNW road-trip and cabin-life content puts her audience in exactly the outdoor travel scenarios where the Sip earns its keep, but her aesthetic-first style and absent gear/sustainability voice make her a soft seed rather than a priority pick."
129,taydensvlogs,https://www.tiktok.com/@taydensvlogs,31300,5.5,6,7,7,4,sustainable,False,False,authentic,A Dallas-based 20-year-old wellness/lifestyle vlogger with an authentic #sustainableliving identity and light camping content — decent Sip fit but very limited absolute reach and no travel or pack-with-me signals.
130,jolenemaxinee,https://www.tiktok.com/@jolenemaxinee,43300,5.5,7,5,6,5,family_amusement,False,False,review,"A California SAHM/toddler-mom who lives at Disneyland, making her a natural fit for the Sip's ""safe water at the park"" angle — but a review-band authenticity flag and paper-thin non-Disney content depth limit her ceiling."
131,ustheremingtons,https://www.tiktok.com/@ustheremingtons,1000000,5.5,6,5,6,5,family_amusement,False,False,review,"A genuine family-travel and road-trip creator who posts pack-with-me content and already wears premium wellness brands — the Sip fits naturally as a water-safety carry for family trips, though low views-per-follower signals a faded macro audience that limits actual seed impact."
132,thedailyeco,https://www.tiktok.com/@thedailyeco,40000,5.5,6,8,6,6,sustainable,False,False,authentic,"A genuine UK-based eco-wellness micro-creator whose ""everyday sustainable swaps"" angle aligns with the Sip's plastic-bottle-reduction story, but whose current content tilts heavily toward inner wellness (qigong, nervous system healing) rather than product swaps, travel, or water content — leaving the Sip connection thin and speculative."
133,kace_cass,https://www.tiktok.com/@kace_cass,55100,5.5,6,7,6,6,travel,False,False,authentic,"A honeymoon-to-Korea international travel vlogger with a proven ""pack with me"" / trip-cost-breakdown format that naturally fits a Sip placement, but zero water/sustainability history and low-engagement product review posts weaken seeding confidence."
134,theinfrequentflyers,https://www.tiktok.com/@theinfrequentflyers,10500,5.5,8,7,6,3,travel,False,False,authentic,"Ben & Ty are an authentic international-travel couple mid-way through a 10-month world trip with confirmed road-trip and packing-essentials content, making them a natural but nano-sized fit for the Sip's ""safe water on the go"" story."
135,katiegbbons,https://www.tiktok.com/@katiegbbons,14900,5.5,5,7,6,4,travel,False,False,authentic,"Sun-drenched Florida lifestyle vlogger with authentic engagement and light travel cred, but lacks the pack-with-me, sustainable-swap, or gear-review identity that would make her a strong Sip seed."
136,tonitravelz,https://www.tiktok.com/@tonitravelz,77500,5.5,7,5,5,6,travel,False,False,review,"A Black travel creator living full-time in Da Nang with 12+ countries under her belt — the Sip's ""safe water abroad"" story fits her real daily life, but suppressed reach and zero product-review history make her a speculative seed rather than a sure thing."
137,skysaba,https://www.tiktok.com/@skysaba,91800,5.5,7,5,5,6,sustainable,False,False,review,"A genuine micro eco-creator (founder of Happy Earth Habits) whose core content — sustainable swaps, reuse-over-recycle, cutting single-use plastics — maps directly onto the Sip's plastic-bottle-replacement hook, but inconsistent view volume and a ""review""-band authenticity score temper the enthusiasm."
138,goingzerowaste_,https://www.tiktok.com/@goingzerowaste_,319300,5.5,8,4,5,6,sustainable,False,False,review,"The #1 zero-waste blog founder (7M+/yr visitors, NatGeo spokesperson, UN speaker) who already posts about the global water crisis with Water.org — making the Sip's 'ditch single-use bottles' hook a near-perfect content-native fit, but TikTok is her weakest channel by far."
139,abbyngaz,https://www.tiktok.com/@abbyngaz,43400,5.5,7,5,5,4,travel,False,False,review,"A legitimate British full-time travel couple covering Asia and beyond who are a natural fit for the Sip's ""safe water while travelling internationally"" hook — but low views-per-follower and no prior LifeStraw or competitor signal make this a cold, unproven seed."
140,islandlifewithclaudia,https://www.tiktok.com/@islandlifewithclaudia,70300,5.5,7,4,4,5,travel,False,False,review,"A UK expat living in Koh Samui who makes travel-tips and packing content for Western tourists visiting Thailand and SEA — a natural setting for the Sip's ""safe water abroad"" pitch — but low view-to-follower delivery and a ""review"" authenticity band make her a marginal rather than must-have seed."
141,younabyun,https://www.tiktok.com/@younabyun,12000,5.2,6,7,7,3,travel,False,False,authentic,A Chicago bride-to-be with an authentic carry-on-essentials video and a destination wedding in Greece already in motion — a natural but narrow window to place the Sip as her go-to for safe water abroad before the wedding trip.
142,aidanbroletti,https://www.tiktok.com/@aidanbroletti,16300,5.2,6,8,6,3,travel,False,False,authentic,"UK-based road-trip and wild-camping creator whose Scotland and international travel content makes the Sip's ""safe water on the go"" story a natural everyday carry pitch."
143,megs_gone_ghost,https://www.tiktok.com/@megs_gone_ghost,48700,5.2,7,4,5,4,travel,False,False,review,A budget international solo traveler with a packing-content habit and a Jpouch backstory that makes safe water deeply personal — but a worryingly low views/follower ratio (0.028) undermines her actual reach.
144,disneywithkels,https://www.tiktok.com/@disneywithkels,262000,5,4,8,8,7,family_amusement,False,False,authentic,"A 256K Disney Parks comedy-skit creator whose highly engaged family-and-amusement-park audience is squarely in the brief's lane, but whose 100% character-skit format offers no organic hook for product integration and zero sustainability, gear-review, or water-utility content."
145,tredelange,https://www.tiktok.com/@tredelange,22900,5.0,6,7,7,4,travel,False,False,authentic,"A cinematic Cape Town–based solo travel vlogger covering Vietnam, Joburg, and Paris on a DJI Osmo Pocket 4 — genuine international travel content with a lifestyle-first voice that fits the Sip's packable-refillable-abroad hook, but follower count sits just under the preferred floor and there's no warm signal or competitor mention to elevate priority."
146,sustainably.kat,https://www.tiktok.com/@sustainably.kat,11300,5.0,5,8,7,3,sustainable,False,False,authentic,"Genuine ""imperfect environmentalist"" micro-creator with authentic plastic-pollution values that align with the Sip's mission, but content lives in sustainable fashion commentary and climate advocacy rather than the travel, pack-with-me, or everyday-carry formats the Sip needs."
147,itstiffanyseder,https://www.tiktok.com/@itstiffanyseder,16100,5.0,6,7,7,3,travel,False,False,authentic,"Authentic Euro-travel micro creator with packing content and a lived ""abroad"" identity that naturally fits the Sip's refillable-travel hook, but at 16K followers sits below the seeding sweet spot with no warm signals or gear-review depth."
148,averyywoods,https://www.tiktok.com/@averyywoods,2500000,5.0,5,8,7,5,travel,False,False,authentic,"A 2.6M-follower beauty-and-mom creator with real travel content (carry-on hauls, red-eye vlogs) but whose core identity is beauty/lifestyle — travel is incidental, not her lane, so Sip placement would feel forced without a clear seeding hook."
149,jennyydelarosa,https://www.tiktok.com/@jennyydelarosa,70700,5.0,5,7,6,6,travel,False,False,authentic,"A clean, authentic Latina lifestyle micro-creator whose international babymoon travel and ""what's in my bag"" content format fit the Sip's travel/pack-with-me hook, but travel is episodic rather than her core identity — primarily a beauty/fashion/maternity account."
150,eats.travels,https://www.tiktok.com/@eats.travels,11200,5,6,7,6,4,travel,False,False,authentic,"Amber is a genuine UK-based international travel micro-creator (Bali, Gothenburg, hotel/restaurant focus) whose abroad-travel content is a natural vehicle for the Sip's ""safe water on the road, skip single-use bottles"" hook — but she sits well below the reach sweet spot and shows no packing, gear, or sustainability signals to clinch the fit."
151,zacwhiteee,https://www.tiktok.com/@zacwhiteee,22500,5,6,8,6,5,travel,False,False,authentic,"Authentic Australian road-trip and Troopy overlander whose domestic travel content maps cleanly to the Sip's road-trip lane, but a small Australian audience and rugged-overland lean limit US DTC conversion impact."
152,wenersisters,https://www.tiktok.com/@wenersisters,137300,5.0,5,7,6,7,family_amusement,False,False,authentic,"Florida triplet sisters with recurring Disney/Blizzard Beach visits offer a thin but real family_amusement hook for the Sip, undercut by a dominant tall-girl lifestyle identity that crowds out any water or sustainability narrative."
153,julianyouhana,https://www.tiktok.com/@julianyouhana,22100,5.0,6,7,6,3,wellness_microplastics,False,False,authentic,"A micro-sized toxin-awareness educator whose microplastics content organically echoes the Sip's core proof point, but narrow fear-framing and a 22K reach make this a low-leverage seed."
154,thelisamays,https://www.tiktok.com/@thelisamays,10700,5.0,6,8,6,4,travel,False,False,authentic,"A genuine international traveler teaching points-and-miles hacking whose real-world trips span Europe, Japan, and SE Asia — a natural Sip user, but her content lane is financial strategy, not packing or gear, making organic product placement a stretch at only 10.7K followers."
155,bella.mae_,https://www.tiktok.com/@bella.mae_,15800,5,6,7,6,4,travel,False,False,authentic,"A brand-safe NY/FL travel micro-creator with an authentic audience and international travel credentials (Peru), but too small, too Hamptons-local, and with no sustainability, pack-with-me, or water-safety content to justify prioritized seeding over stronger fits."
156,sstowe1,https://www.tiktok.com/@sstowe1,11400,5.0,6,7,6,3,sustainable,False,False,authentic,"Tampa-based licensed therapist and low-tox micro-creator whose microplastic-aware, sustainable-swap audience is pre-primed for the Sip's plastic-bottle-replacement pitch — but her small size and absence of travel or pack-with-me content cap her impact."
157,gittemary,https://www.tiktok.com/@gittemary,33700,5,6,4,5,5,sustainable,False,False,review,"A credentialed Danish zero-waste educator whose anti-plastic ethos maps cleanly to the Sip's bottle-replacement hook, but her TikTok skews toward home-cleaning tutorials rather than travel or pack-with-me content, and a ""review""-band authenticity score with a 0.047 views-per-follower ratio signals weak organic reach."
158,hangingwiththecoopers_,https://www.tiktok.com/@hangingwiththecoopers_,42100,5.0,6,4,5,5,travel,False,False,review,"Angela is a 40+ soft-life travel creator with real hotel-stay and road-trip content and premium gear adjacency (BÉIS, BrüMate), but a suspiciously low views-per-follower ratio anchors her to the ""review"" authenticity band and limits effective reach."
159,abbietravelin,https://www.tiktok.com/@abbietravelin,68100,5.0,7,4,5,4,travel,False,False,review,"Authentic solo female traveler with 7+ years of continuous international travel, but a critically low views/followers ratio (0.0124) signals heavy audience decay that undermines effective reach for the Sip seed."
160,deninipaninii,https://www.tiktok.com/@deninipaninii,93500,5.0,7,4,5,5,travel,False,False,review,"A genuine digital-nomad travel creator with a clean brand-safe profile and natural Sip use cases, held back by suspiciously low views-per-follower (0.018) relative to her 93K follower count."
161,cleankitchennutrition,https://www.tiktok.com/@cleankitchennutrition,841700,5.0,5,4,5,7,wellness_microplastics,False,True,review,"A clean-eating ingredient-label scrutinizer with proven water-filter content and AquaTru/Brita conquest credentials — but his core lane is grocery aisles, not travel or everyday carry, and his ~2% view/follower rate signals meaningful audience bloat for an 840K account."
162,livingplanetfriendly,https://www.tiktok.com/@livingplanetfriendly,491300,5.0,6,5,4,6,sustainable,False,False,review,"A credible 485K macro sustainability creator with genuine brand-safe values, but her content has drifted deep into homestead/DIY crafts with no travel, gear-review, or plastic-swap hooks visible — limiting Sip activation potential."
163,melissaadelacruzz,https://www.tiktok.com/@melissaadelacruzz,75700,5,8,3,4,4,travel,False,False,review,"A laser-focused solo Southeast Asia travel creator living in Vietnam whose content is a natural home for the Sip, but a critically low views/followers ratio (~0.99%) flags likely follower inflation that undercuts her 75K nominal reach."
164,elizabetheverafter,https://www.tiktok.com/@elizabetheverafter,45300,4.5,4,8,8,5,family_amusement,False,False,authentic,A highly engaged Disney-pin-trading micro-creator whose Walt Disney World visits are real but whose content is so narrowly focused on collectible pins that the Sip's refillable-travel hook has no organic home here.
165,jeana_butler,https://www.tiktok.com/@jeana_butler,11700,4.5,4,8,8,3,family_amusement,False,False,authentic,"A highly engaged Disney-parks nano creator in a textbook Sip use-case venue, but her content is monothematically Disney aesthetic with zero hydration, sustainability, or packing signals to anchor the seed."
166,charliehopperhome,https://www.tiktok.com/@charliehopperhome,43800,4.5,5,7,7,4,travel,False,False,authentic,"A UK-based lifestyle/cleaning vlogger whose NYC travel content shows the right setting for the Sip but whose core identity is haul-shopping and home, not sustainable travel — a weak lane match at small scale."
167,allysonlindsey7,https://www.tiktok.com/@allysonlindsey7,29100,4.5,5,8,7,5,family_amusement,False,False,authentic,"A hyper-niche Disney park style creator whose amusement-park frequency puts her in-lane, but whose content identity is fashion/aesthetics — not gear, hydration, or sustainability — leaving the Sip with only a thin hook and no warm signal."
168,theorganisedeverydaymum,https://www.tiktok.com/@theorganisedeverydaymum,217500,4.5,5,7,7,7,family_amusement,False,False,authentic,"An authentic Australian family-of-6 mum creator with a proven road-trip ""pack with me"" video and real engagement, but whose core identity is home organisation and cleaning — making the Sip a peripheral, not natural, fit."
169,disneydayswithdraya,https://www.tiktok.com/@disneydayswithdraya,16800,4.5,5,8,7,3,family_amusement,False,False,authentic,A hyper-Disneyland-focused micro-creator whose park visits land in the right lane but whose audience is too small and content too narrowly food/merch-focused to make the Sip feel natural without a travel or sustainability hook.
170,albasaezmarquez,https://www.tiktok.com/@albasaezmarquez,14200,4.5,5,7,7,3,travel,False,False,authentic,"A clean, authentic Spanish-language micro-creator whose girl-trip and ""pack with me"" travel vlogs are an honest Sip use-case, but sub-25K reach, zero warm signals, and a Spanish-only audience cap her value for a US-DTC seeding list."
171,nattiejopo,https://www.tiktok.com/@nattiejopo,277200,4.5,4,8,7,7,family_amusement,False,False,authentic,"A brand-safe, authentic toddler-mom/DIY creator with a real audience and the right follower count, but whose channel is overwhelmingly home decor and baby milestones — not travel, sustainability, or gear — making the Sip a forced fit without a strong natural hook."
172,consciouslykay,https://www.tiktok.com/@consciouslykay,310200,4.5,5,5,6,6,sustainable,False,False,review,"A holistic-nutrition and low-tox-living mom creator whose sustainability values align with LifeStraw's mission but whose content skews gut-health and postpartum wellness rather than the travel, pack-with-me, or on-the-go hydration angles that make the Sip a natural seed."
173,plantbased.baby,https://www.tiktok.com/@plantbased.baby,358000,4.5,5,4,6,5,sustainable,False,False,review,"Genuine eco-swap ethos fits LifeStraw's sustainability story, but this is an explicitly homebody/kitchen creator with no travel, pack-with-me, or on-the-go content — the Sip's core hooks don't naturally land here."
174,tatiananbodner,https://www.tiktok.com/@tatiananbodner,101200,4.5,5,7,6,6,sustainable,False,False,authentic,"Minimalist-aesthetic creator with a genuine zero/low-waste swaps video, but her content is almost entirely LA apartment aesthetics with no travel, pack-with-me, or on-the-go water angle to naturally carry the Sip."
175,taniamannotra,https://www.tiktok.com/@taniamannotra,48300,4.5,5,7,6,5,travel,False,False,authentic,"A genuine India↔New Zealand multicultural traveler with a documented road-trip meal-prep video, but recent output has been dominated by personal wedding content rather than travel or sustainable-carry themes."
176,thatflawlesstravelgirl,https://www.tiktok.com/@thatflawlesstravelgirl,24200,4.5,5,6,6,4,travel,False,False,authentic,A cruise-focused travel agent whose content is almost entirely a service booking funnel — topically eligible but wrong content mode for product seeding.
177,julianadeliberais,https://www.tiktok.com/@julianadeliberais,20100,4.5,5,7,6,3,sustainable,False,False,authentic,"A genuinely mission-aligned zero-waste nano-creator whose audience lives the sustainable-swap ethos, but her content is rooted in fashion/household habits rather than travel or packable gear — the Sip's primary hooks."
178,carmelaandthebeast,https://www.tiktok.com/@carmelaandthebeast,31200,4.5,4,8,6,5,travel,False,False,authentic,"A genuine micro-creator with real hydration-adjacent content (#stanleygirl, #simplemoderngirl, road-trip hacks) but too content-scattered across gym, car DIY, and TV fandoms to anchor a credible Sip travel or sustainability story."
179,byilyanna,https://www.tiktok.com/@byilyanna,10500,4.5,7,7,6,3,travel,False,False,authentic,"A polished hotel-and-destination travel creator with authentic international footprint and clean brand partners, but her nano-sized audience (~10.5K) and creator-education-skewed content reduce consumer seeding impact for The Sip."
180,mostarling_,https://www.tiktok.com/@mostarling_,10600,4.5,5,7,6,3,family_amusement,False,False,authentic,"A mom-of-3 who regularly posts #packwithme cabin and mountain trip content with her kids — a credible but very small, cold seeding prospect with no water/sustainability signal to build on."
181,acteevism,https://www.tiktok.com/@acteevism,95200,4.5,4,5,5,5,sustainable,False,False,review,"Megan is a credible, brand-safe sustainability educator but her content is almost exclusively sustainable fashion — sewing, mending, and upcycling — with no travel, gear-review, or everyday-carry overlap to give The Sip a natural hook."
182,newlifestyleabb,https://www.tiktok.com/@newlifestyleabb,383000,4.5,6,5,5,6,sustainable,False,False,review,"Alyssa is a credible St. Louis sustainable-living macro creator whose plastic-free swap content aligns with the Sip's eco angle, but her zero travel/pack-with-me content, low views-per-follower ratio, activist-political tone, and ""review"" authenticity band make her a weak fit against the Sip's core hooks."
183,brookevestrand,https://www.tiktok.com/@brookevestrand,156400,4.5,5,4,5,6,family_amusement,False,False,review,"A cozy NC mom known for pumpkin-season reviews and Asheville family trips — touchpoints exist for family travel but no sustainable-swap identity, no pack-with-me angle, and low audience delivery undercut her case for the Sip."
184,zerowastecartel,https://www.tiktok.com/@zerowastecartel,175900,4.5,6,6,5,6,sustainable,False,False,authentic,"A home-focused zero-waste account with the right values but the wrong content lanes — no travel, pack-with-me, or gear-review angle, and a likely brand-operated storefront makes it unsuitable for individual-creator seeding."
185,healthwithhunter,https://www.tiktok.com/@healthwithhunter,465300,4.5,5,4,5,7,wellness_microplastics,False,True,review,"Hunter's water-quality audience and anti-Brita content are directionally relevant, but an active, recurring AquaTru affiliate deal and home-filtration-only framing make the Sip a hard fit without first resolving the competitor conflict."
186,raisingreverie,https://www.tiktok.com/@raisingreverie,39200,4.5,6,4,5,4,family_amusement,False,False,review,"Arizona mom-of-two with a natural ""road trip pack with me"" angle that fits the Sip brief, but severely low views-per-follower and a ""review"" authenticity band undermine real delivery potential."
187,arinsolange,https://www.tiktok.com/@arinsolange,659400,4.5,5,4,5,6,travel,False,False,review,A mom-of-4 Amazon-affiliate organizer with real but secondary travel/pack-with-me content — not a strong mission fit for a premium B-Corp water brand given low views-per-follower and a deal-seeker audience.
188,cleanlivingkarly,https://www.tiktok.com/@cleanlivingkarly,46500,4.5,4,8,5,6,sustainable,False,False,authentic,"A genuine non-toxic beauty and skincare creator whose content is locked into personal care products with zero evidence of travel, hydration, or plastic-bottle-swap content — the Sip's core hooks simply don't map to her feed."
189,spreadsheetshan,https://www.tiktok.com/@spreadsheetshan,49200,4.5,5,4,5,5,travel,False,False,review,"A NYC corporate-life vlogger with real travel trips and a Hotels.com partnership, but her primary identity is ""corporate girly,"" not travel or sustainable gear — making the Sip a stretch rather than a natural fit."
190,kaitlinkerby4,https://www.tiktok.com/@kaitlinkerby4,34200,4.5,5,4,5,4,wellness_microplastics,False,False,review,"Hawaii-based wellness and ocean-lifestyle creator with real travel content and a clean identity, but low audience reach performance, unconfirmed Epic Water conquest, and no dedicated sustainable-gear or pack-with-me lane make her a weak Sip seed."
191,justlikedru,https://www.tiktok.com/@justlikedru,14300,4.5,6,4,5,3,travel,False,False,review,"Budget solo-travel creator covering NYC, Chicago, and Guatemala city guides with a live Viator partnership — a natural Sip ""ditch the single-use bottle while traveling"" fit, undercut by a ""review""-band authenticity flag, sub-4% views/followers, and eclectic non-travel brand mix."
192,lisamariawhite,https://www.tiktok.com/@lisamariawhite,32600,4.5,6,4,4,4,travel,False,False,review,"A genuine NYC-to-Portugal expat and family-life creator whose daily life abroad maps cleanly to the Sip's ""safe water while living and traveling internationally"" hook, but very low view-to-follower ratio and a skeptical authenticity band make her a weak seed at this time."
193,professionaltraveler,https://www.tiktok.com/@professionaltraveler,299100,4.5,5,4,4,6,travel,False,False,review,"Catarina Mello is a polished luxury-travel creator with genuine international reach, but her ultra-premium positioning (first-class cabins, 5-star hotels) and a suspiciously low views/followers ratio make her a weak fit for a practical $35 sustainable everyday-carry like the Sip."
194,thenatashaibrahim,https://www.tiktok.com/@thenatashaibrahim,88800,4.5,6,4,4,5,travel,False,False,review,"A 56-country solo-female digital nomad based in NYC whose international travel itineraries (Bali, India, Europe, Mexico) are exactly the use-case for the Sip, but a ""review""-band authenticity score and near-zero views-per-follower ratio raise serious audience quality concerns."
195,vidadejannet,https://www.tiktok.com/@vidadejannet,32200,4.0,4,8,7,5,travel,False,False,authentic,A beauty-first Oklahoma couples creator whose occasional beach and road-trip vlogs touch the travel lane but whose dominant GRWM/cosmetics identity makes a clean Sip integration awkward and unconvincing.
196,mashamemedovic,https://www.tiktok.com/@mashamemedovic,54500,4,5,8,7,5,travel,False,False,authentic,"Serbian lifestyle creator with genuine international travel (Namibia) and a second-hand sustainability lean, but her Serbian-language Balkan audience and fishing-adjacent content make her a weak fit for LifeStraw's US DTC Sip campaign."
197,megdiem,https://www.tiktok.com/@megdiem,133000,4.0,4,8,7,6,sustainable,False,False,authentic,Meg is primarily a certified color analyst whose packing-hack content is a real but secondary thread — not enough travel/sustainability identity for LifeStraw's Sip to land naturally.
198,if.you.never.bleed,https://www.tiktok.com/@if.you.never.bleed,43100,4.0,5,8,7,3,sustainable,False,False,authentic,"A genuine college-student sustainability micro-creator whose refill-shop and plastic-free content aligns with the Sip's mission, but her dominant identity is arts & crafts—not travel or everyday-carry—leaving the Sip's core hooks underserved and her reach too limited for a curated seed list."
199,beautylifeandallthat,https://www.tiktok.com/@beautylifeandallthat,152900,4.0,4,7,6,5,travel,False,False,authentic,"A 19-year-old Helsinki beauty/aesthetic creator with genuine pack-with-me and travel content (Greece, NYC) but whose primary identity is GRWM/inspo, not sustainable travel gear, and whose Finnish-based audience significantly limits US DTC value for LifeStraw's Sip."
200,tryzerowaste,https://www.tiktok.com/@tryzerowaste,78700,4,5,7,6,5,sustainable,False,False,authentic,"A genuine zero-waste/plastic-free ethos in Uppsala, Sweden, but the channel is really a business-promo vehicle for a local refill store, not a seedable individual lifestyle creator — and the Swedish-only audience offers near-zero DTC conversion value for LifeStraw US."
201,babypaulij,https://www.tiktok.com/@babypaulij,36000,4.0,4,7,6,5,family_amusement,False,False,authentic,"Lorie is a BIPOC momtok creator with a genuine #typeatravel thread, but travel is a minor subplot in a content mix dominated by personal lifestyle, PPD, and pop-culture takes — too thin a travel identity and no sustainability or competitor signals to justify a handpicked Sip seed slot."
